municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet,puntaje_stem,brecha_stem,nivel_brecha,nivel_conectividad_base,nivel_conectividad,municipio_normalizado
PIEDRAS,RURAL,45.84,49.64,4291.0,47.74,0.2538847384821281,medio,básico,básico,PIEDRAS
PIEDRAS,URBANO,46.1578947368421,47.05263157894737,4291.0,46.60526315789474,-0.880852103623134,alto,básico,básico,PIEDRAS
PIENDAMÓ - TUNÍA,RURAL,44.79874213836478,45.905660377358494,2414.0,45.35220125786164,-2.133914003656237,alto,básico,básico,PIENDAMO - TUNIA
PIENDAMÓ - TUNÍA,URBANO,49.52475247524752,50.05940594059406,2414.0,49.79207920792079,2.305963946402919,medio,básico,básico,PIENDAMO - TUNIA
PIJAO,RURAL,50.5,51.60344827586207,4834.0,51.05172413793103,3.565608876413158,medio,básico,básico,PIJAO
PIJAO,URBANO,44.9,46.6,4834.0,45.75,-1.7361152615178739,alto,básico,básico,PIJAO
PIJIÑO DEL CARMEN,RURAL,40.58510638297872,39.9468085106383,5433.0,40.265957446808514,-7.22015781470936,crítico,básico,básico,PIJINO DEL CARMEN
PIJIÑO DEL CARMEN,URBANO,45.80645161290322,48.53225806451613,5433.0,47.16935483870967,-0.31676042280820127,alto,básico,básico,PIJINO DEL CARMEN
PINCHOTE,RURAL,40.66666666666666,37.66666666666666,4758.0,39.16666666666666,-8.319448594851217,crítico,básico,básico,PINCHOTE
PINCHOTE,URBANO,50.371428571428574,52.85714285714285,4758.0,51.614285714285714,4.12817045276784,medio,básico,básico,PINCHOTE
PINILLOS,RURAL,41.172222222222224,40.34444444444444,853.0,40.75833333333333,-6.727781928184541,crítico,básico,básico,PINILLOS
PINILLOS,URBANO,40.67045454545455,40.42045454545455,853.0,40.54545454545455,-6.940660716063327,crítico,básico,básico,PINILLOS
PIOJÓ,RURAL,39.54166666666666,36.91666666666666,1102.0,38.22916666666666,-9.256948594851217,crítico,básico,básico,PIOJO
PIOJÓ,URBANO,42.42857142857143,42.0,1102.0,42.214285714285715,-5.271829547232159,crítico,básico,básico,PIOJO
PISBA,URBANO,50.4,55.4,97.0,52.9,5.413884738482125,bajo,básico,básico,PISBA
PITAL,RURAL,46.7027027027027,47.25675675675676,12045.0,46.979729729729726,-0.5063855317881476,alto,básico,básico,PITAL
PITAL,URBANO,48.53658536585366,50.23170731707317,12045.0,49.38414634146342,1.8980310799455467,medio,básico,básico,PITAL
PITALITO,RURAL,49.52021563342318,52.5822102425876,155477.0,51.05121293800539,3.565097676487518,medio,medio,medio,PITALITO
PITALITO,URBANO,54.96378269617706,57.12273641851107,155477.0,56.043259557344065,8.557144295826191,bajo,medio,medio,PITALITO
