municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet
SÁCHICA,RURAL,45.853658536585364,48.53658536585366,7196.0
SÁCHICA,URBANO,53.0,54.8,7196.0
TABIO,RURAL,54.47872340425532,57.297872340425535,53255.0
TABIO,URBANO,51.785714285714285,53.791666666666664,53255.0
TADÓ,RURAL,36.275862068965516,36.275862068965516,4747.0
TADÓ,URBANO,39.798449612403104,40.95348837209303,4747.0
TALAIGUA NUEVO,RURAL,39.975903614457835,39.78313253012048,3817.0
TALAIGUA NUEVO,URBANO,44.52307692307692,45.52307692307692,3817.0
TAMALAMEQUE,RURAL,43.03333333333333,42.53333333333333,3843.0
TAMALAMEQUE,URBANO,43.261538461538464,43.815384615384616,3843.0
TAME,RURAL,46.417355371900825,47.59090909090909,73113.0
TAME,URBANO,49.421052631578945,52.380116959064324,73113.0
TAMINANGO,RURAL,48.895348837209305,50.627906976744185,10547.0
TAMINANGO,URBANO,47.38461538461539,49.52564102564103,10547.0
TANGUA,RURAL,50.52777777777778,55.30555555555556,3055.0
TANGUA,URBANO,49.31578947368421,50.1578947368421,3055.0
TARAPACÁ,RURAL,38.55,37.45,460.0
TARAZÁ,RURAL,41.82706766917293,40.81203007518797,9815.0
TARAZÁ,URBANO,47.376068376068375,48.8974358974359,9815.0
TARQUI,RURAL,45.01807228915663,46.8433734939759,9386.0
TARQUI,URBANO,49.25961538461539,49.26923076923077,9386.0
TARSO,URBANO,47.8,50.44444444444444,7053.0
TASCO,RURAL,49.72727272727273,51.54545454545455,1640.0
TASCO,URBANO,50.84444444444444,54.68888888888889,1640.0
TAURAMENA,RURAL,47.94117647058823,51.11764705882353,18676.0
TAURAMENA,URBANO,50.58767772511848,52.61611374407583,18676.0
TAUSA,RURAL,52.53333333333333,56.53333333333333,6409.0
TAUSA,URBANO,49.51948051948052,51.97402597402598,6409.0
TELLO,RURAL,49.470588235294116,50.72549019607843,1695.0
TELLO,URBANO,45.19230769230769,45.34615384615385,1695.0
TENA,RURAL,51.79545454545455,54.93181818181818,3350.0
TENA,URBANO,47.31818181818182,48.95454545454545,3350.0
TENERIFE,RURAL,42.4,40.74285714285714,4203.0
TENERIFE,URBANO,43.57333333333333,42.906666666666666,4203.0
TENJO,RURAL,58.72844827586207,61.00431034482759,43531.0
TENJO,URBANO,55.526315789473685,57.87218045112782,43531.0
TENZA,URBANO,52.5,54.88235294117647,2677.0
TEORAMA,RURAL,45.714285714285715,48.65714285714286,1566.0
TEORAMA,URBANO,45.333333333333336,47.710144927536234,1566.0
TERUEL,URBANO,51.096774193548384,53.096774193548384,5235.0
TESALIA,RURAL,44.925925925925924,46.77777777777778,10616.0
TESALIA,URBANO,49.71604938271605,51.148148148148145,10616.0
TIBACUY,RURAL,52.5,55.75,1350.0
TIBACUY,URBANO,49.416666666666664,54.166666666666664,1350.0
TIBANÁ,RURAL,49.55,52.0,3977.0
TIBANÁ,URBANO,47.3768115942029,51.18840579710145,3977.0
TIBASOSA,RURAL,56.4,57.55555555555556,21020.0
TIBASOSA,URBANO,52.81818181818182,55.96969696969697,21020.0
TIBIRITA,URBANO,46.0,48.08695652173913,904.0
TIBÚ,RURAL,43.78421052631579,43.95789473684211,28614.0
TIBÚ,URBANO,45.054621848739494,45.94117647058823,28614.0
TIERRALTA,RURAL,45.93050193050193,45.34169884169884,38334.0
TIERRALTA,URBANO,48.217038539553755,48.6105476673428,38334.0
TIMANÁ,RURAL,49.78,53.18,11406.0
TIMANÁ,URBANO,46.67142857142857,46.66428571428571,11406.0
TIMBIQUÍ,RURAL,35.225352112676056,33.23943661971831,4899.0
TIMBIQUÍ,URBANO,37.225806451612904,36.29032258064516,4899.0
TIMBÍO,RURAL,46.55681818181818,47.40909090909091,8178.0
TIMBÍO,URBANO,49.71875,52.49107142857143,8178.0
TINJACÁ,URBANO,53.32258064516129,55.774193548387096,3654.0
TIPACOQUE,URBANO,50.44,55.44,762.0
TIQUISIO,RURAL,40.97560975609756,42.207317073170735,1538.0
TIQUISIO,URBANO,41.152542372881356,42.05084745762712,1538.0
TITIRIBÍ,URBANO,43.320754716981135,44.320754716981135,11168.0
TOCA,RURAL,49.15533980582524,51.90291262135922,6403.0
TOCAIMA,RURAL,42.34782608695652,42.391304347826086,16979.0
TOCAIMA,URBANO,45.86363636363637,49.03030303030303,16979.0
TOCANCIPÁ,RURAL,50.84065934065934,54.15384615384615,179429.0
TOCANCIPÁ,URBANO,52.361607142857146,54.53125,179429.0
TOGÜÍ,URBANO,47.25714285714286,54.22857142857143,116.0
TOLEDO,RURAL,45.92134831460674,46.943820224719104,9573.0
TOLEDO,URBANO,47.82644628099174,49.51239669421488,9573.0
TOLÚ VIEJO,RURAL,47.28346456692913,45.275590551181104,4802.0
TOLÚ VIEJO,URBANO,45.811764705882354,45.22352941176471,4802.0
TONA,RURAL,49.146341463414636,50.8780487804878,4850.0
TONA,URBANO,53.88235294117647,54.1764705882353,4850.0
TOPAIPÍ,RURAL,46.64,46.16,1437.0
TOPAIPÍ,URBANO,43.8,43.3,1437.0
TORIBÍO,RURAL,41.01162790697674,39.0,
TORIBÍO,URBANO,41.3013698630137,42.726027397260275,
TORO,RURAL,37.375,36.9375,15960.0
TORO,URBANO,46.70175438596491,48.00877192982456,15960.0
TOTA,URBANO,50.78846153846154,52.98076923076923,1284.0
TOTORÓ,RURAL,43.053030303030305,41.18939393939394,909.0
TOTORÓ,URBANO,49.388888888888886,51.19444444444444,909.0
TRINIDAD,RURAL,46.295081967213115,46.967213114754095,6158.0
TRINIDAD,URBANO,48.32142857142857,52.035714285714285,6158.0
TRUJILLO,RURAL,44.523809523809526,47.285714285714285,5839.0
TRUJILLO,URBANO,47.252747252747255,49.42857142857143,5839.0
TUBARÁ,RURAL,45.027027027027025,44.189189189189186,5632.0
TUBARÁ,URBANO,43.36538461538461,45.73076923076923,5632.0
TUCHÍN,RURAL,42.73122529644269,42.383399209486164,4863.0
TUCHÍN,URBANO,43.84530386740332,42.08839779005525,4863.0
TULUÁ,RURAL,47.308035714285715,48.4375,395711.0
TULUÁ,URBANO,51.485565819861435,53.147806004618936,395711.0
TUNJA,RURAL,52.11538461538461,54.46153846153846,509440.0
TUNJA,URBANO,55.62421242124213,58.93609360936094,509440.0
TUNUNGUÁ,URBANO,41.13636363636363,38.04545454545455,48.0
